week,team,p_win,opponent,source,cum_survival
3,SF,0.7716376348590821,vs ARI,market,0.7716376348590821
4,BAL,0.7700066923604307,vs TEN,ratings,0.5941661429186677
5,NE,0.7203513827471264,vs LV,ratings,0.42800840263298895
6,LA,0.661190281798677,vs ARI,ratings,0.2829949963491076
7,MIN,0.7294819398967272,vs IND,ratings,0.20643973891781423
8,CIN,0.7331618142971071,vs TEN,ratings,0.1513537335280058
9,SEA,0.7214530506574269,vs ARI,ratings,0.10919461278217106
10,BUF,0.6641887417474919,at NYJ,ratings,0.07252583246939479
11,DEN,0.7040709354194669,vs LV,ratings,0.051063330708802326
12,JAX,0.7056232354737599,vs TEN,ratings,0.0360314726288117
13,PHI,0.5802802064549086,at ARI,ratings,0.02090835037592124
14,DET,0.6858823306653833,vs TEN,ratings,0.014340668086205304
15,GB,0.6208086752354746,vs MIA,ratings,0.008902811156588763
16,LV,0.5944566231401421,vs TEN,ratings,0.005292335056600139
17,PIT,0.5809050059116854,at TEN,ratings,0.0030743439273409234
18,HOU,0.643150760152021,vs TEN,ratings,0.0019772666338380646
