week,pick,p_win,alternatives,margin_over_2nd,cum_survival,opponent,source
3,KC,0.8430152209911608,"SF 77% (-15.2%), GB 72% (-17.3%), SEA 73% (-17.6%)",0.1518021618727271,0.8430152209911608,at MIA,market
4,BAL,0.7700066923604307,"SEA 75% (-5.6%), CHI 71% (-6.1%), MIN 73% (-13.3%)",0.05550961571486279,0.6491273619249013,vs TEN,ratings
5,NE,0.7203513827471264,"PIT 68% (-0.4%), HOU 68% (-3.0%), DAL 58% (-12.7%)",0.004251189753112339,0.467599792741597,vs LV,ratings
6,SF,0.7183459163970208,"LA 66% (-1.5%), IND 65% (-3.0%), PHI 64% (-4.7%)",0.015480698345575084,0.3358984016240195,vs WAS,ratings
7,MIN,0.7294819398967272,"PHI 65% (-5.2%), SEA 69% (-12.2%), HOU 66% (-12.3%)",0.052435017358776204,0.24503181762489973,vs IND,ratings
8,CIN,0.7331618142971071,"GB 64% (-15.6%), BUF 69% (-17.6%), JAX 70% (-18.7%)",0.15552501486055015,0.17964797197038937,vs TEN,ratings
9,SEA,0.7214530506574269,"CHI 63% (-9.3%), NO 62% (-10.6%), PHI 61% (-11.1%)",0.09322076929734446,0.12960757742245735,vs ARI,ratings
10,BUF,0.6641887417474919,"LA 59% (-7.3%), IND 57% (-9.1%), JAX 64% (-12.9%)",0.07292256317479962,0.08608389376916258,at NYJ,ratings
11,DAL,0.6628617281497673,"CHI 65% (-2.5%), PHI 63% (-4.4%), LAC 61% (-8.4%)",0.025212012053233535,0.05706171858968809,vs TEN,ratings
12,JAX,0.7056232354737599,"CLE 60% (-8.1%), LA 57% (-13.5%), IND 57% (-13.8%)",0.08090957868869297,0.0402640744929489,vs TEN,ratings
13,DEN,0.6801638873917992,"PHI 58% (-14.7%), LA 57% (-16.5%), CHI 54% (-20.5%)",0.14685237306542565,0.02738616942935711,vs MIA,ratings
14,DET,0.6858823306653833,"PHI 61% (-8.8%), CLE 56% (-16.5%), CHI 53% (-20.9%)",0.08812581822190824,0.018783689716204525,vs TEN,ratings
15,GB,0.6208086752354746,"ARI 61% (-2.5%), LA 58% (-6.9%), WAS 56% (-10.2%)",0.025018546103702355,0.011661077528751139,vs MIA,ratings
16,LV,0.5944566231401421,"PHI 57% (-4.5%), NO 57% (-4.9%), PIT 59% (-6.4%)",0.045388528030433584,0.0069320047699167955,vs TEN,ratings
17,PIT,0.5809050059116854,"ARI 55% (-6.1%), CLE 54% (-6.7%), LA 54% (-7.5%)",0.06108705243771129,0.0040268362718483474,at TEN,ratings
18,HOU,0.643150760152021,"PHI 55% (-14.2%), CAR 55% (-15.0%), NO 53% (-18.1%)",0.14248429346879576,0.002589862809246995,vs TEN,ratings
